Store Name, Address
        Rock Hill   ,       3900 Mount Gallant Rd Rock Hill  SC	29732   
        Houston Business District   ,       2222 Louisiana St Houston TX	77002   
        Montrose   ,       3301 Williamsburg Rd	Richmond  VA 23231   
        Meadowridge   ,       700 Columbia Blvd Titusville  FL 32870   
        Daytona Beach Shores   ,       2530 S Atlantic Ave Daytona Beach  FL	32118   
        West Bithlo   ,       13100 E Colonial Dr Orlando  FL	32826   
        Cumberland   ,       2145 Powers Ferry Rd	Atlanta  GA 30067   
        Vermont Vista   ,       11025 S Figueroa St Los Angeles  CA 90061   
        Ramona   ,       802 Main St Ramona  CA	92065   
        Redlands   ,       1125 Orange St Redlands  CA 92374   
        Southeast Phoenix   ,       4737 E Broadway Rd Phoenix  AZ	85040   
        Pine Hills North   ,       2800 N Pine Hills Rd Orlando  FL 32805   
        Canton   ,       11429 Bells Ferry Rd Canton  GA	30114   
        Dunedin   ,       840 Broadway Dunedin  FL	34698   
        High Springs   ,       24390 W US Hwy 27 High Springs  FL 32643   
        Rock Lake   ,       601 N John Young Pkwy. Orlando  FL 32805   
        Sioux Falls East   ,       4700 W 12th Street Sioux Falls  SD	57107   
        Texas Medical Center   ,       2424 Old Spanish Trail  Houston TX	77054   
        Walnut   ,       1024 S Brea Canyon Rd Walnut  CA 91789   
        Norfolk   ,       1303 Ta Ha Zouka Dr Norfolk  NE 68701   
        Spring Branch East   ,       7901 Long Point Rd Houston  TX 77055   
        Monmouth Park   ,       3030 Ames Omaha  NE 68111   
        Freemont   ,       209 W 23rd Street Fremont  NE	68025   
        Lansing   ,       1000 E Mt Hope Ave Lansing  MI 48910   
        Sioux Falls   ,       1900 West 12th Street Sioux Falls  SD 57104   
        Kamala Park   ,       1309 Saviers Rd	Oxnard  CA	93033   
        River Bend   ,       1443 2nd Ave Des Moines  IA 50314   
        Camarillo   ,       3661 Las Posas Rd STE 169 Camarillo  CA	93010   
        Apache Junction   ,       2925 W Superstition Blvd Apache Junction  AZ	85120   
        Northeast Des Moines   ,       3804 Hubbell Ave	Des Moines  IA 50317   
        Omaha North   ,       9220 Mormon Bridge Rd Omaha  NE 68152   
        East Cedar Hills   ,       2601 Williams Blvd SW Cedar Rapids   IA 52404   
        Indianola   ,       403 W 2nd Ave Indianola  IA	50125   
        Columbus   ,       4812 Howard Blvd Columbus  NE 68601   
        McKee City   ,       6027 E Black Horse Pike  McKee City NJ 08232   
        Tazewell   ,       1446 North Broadstreet Tazewell  TN 37879   
        Hoover   ,       1976 Patton Chapel Rd Birmingham  AL	35226   
        Edgewater   ,       1184 Central Ave	Edgewater  MD 21037   
        Toledo South   ,       1806 Arlington Ave Toledo  OH	43609   
        Springfield   ,       2018 S Main St Springfield  TN	37172   
        Des Moines   ,       2701 Ingersoll Ave Des Moines  IA 50312   
        Uptown San Antonio   ,       15139 Bulverde Rd San Antonio  TX	78247   
        Arlington   ,       6808 Bowman Springs Rd	Arlington  TX	76016   
        Escondido South   ,       2306 S Escondido Blvd Escondido 	CA	92025   
        Northshore Houston   ,       11103 East Fwy Houston  TX 77029   
        Northwest San Antonio   ,       8923 Culebra Rd San Antonio  TX 78251   
        Chino Hills   ,       5022 Los Serranos Rd	Chino Hills  CA	91709   
        Lakeland South   ,       2908 S Florida ave Lakeland  FL 33803   
        Winter Haven   ,       1200 3rd St SW Winter Haven  FL	33880   
        Sherwood   ,       9250 Brockington RD	Sherwood  AR 72120   
        Little Rock   ,       8822 Stagecoach Rd	Little Rock  AR 72210   
        Perris   ,       360 E 4th St  Perris  CA 92570   
        Pleasantville   ,       220 N Main St Pleasantville  NJ 08232   
        Atlantic City North   ,       405 N Pennsylvania Ave Atlantic City  NJ	8401   
        Atlantic City   ,       1125 Arctic Ave Atlantic City  NJ 08401   
        Torrance   ,       1800 Artesia Blvd Torrance  CA	90504   
        West Athens   ,       1026 W. Imperial Highway	Los Angeles 	CA	90044   
        Hyde Park   ,       3411 W Florence Ave Los Angeles  CA 90043   
        Dade City   ,       13851 7th St	Dade City  FL	33525   
        Park Ridge   ,       1200 West Touhy Avenue Park Ridge  IL	60068   
        Palatine   ,       802 West Palatine Rd	Palatine	IL 60067   
        Elgin West   ,       1032 Larkin Avenue Elgin  IL 60123   
        Elgin   ,       300 South State Street Elgin  IL 60123   
        Woodstock   ,       2025 S Eastwood Dr Woodstock  IL 60098   
        Spartanburg West   ,       127 South Blackstock Road Spartanburg  SC	29301   
        Winston-Salem   ,       4116 Indiana Avenue	Winston-Salem  NC 27105   
        Huntsville North   ,       3310 Meridian Street North Huntsville  AL	35811   
        Decatur   ,       17 14th Street Southeast Decatur  AL 35601   
        Fairburn   ,       5270 Campbellton Fairburn Rd	Fairburn  GA	30213   
        East Atlanta   ,       29 Moreland Avenue Southeast Atlanta 	GA	30316   
        Lawrenceville   ,       452 Winder Highway	Lawrenceville  GA 30045   
        Conyers   ,       2300 Sigman Road Southwest	Conyers 	GA	30012   
        Union City   ,       5022 Roosevelt Highway Union City  GA	30291   
        South Atlanta   ,       180 University Avenue Southwest Atlanta  GA 30315   
        Grant Park   ,       387 Hill St SE Atlanta  GA 30312   
        Peachtree Corners   ,       6405 Peachtree Industrial Blvd	Norcross  GA 30092   
        Norcross South   ,       5615 Singleton Road	Norcross  GA 30093   
        Challenger Park   ,       4070 N Clark St. Chicago  IL 60613   
        Logan Square   ,       3959 W Fullerton	Chicago  IL 60647   
        North Mayfair   ,       5066 N Elston Ave. Chicago  IL	60630   
        Mt. Dora North   ,       1343 N Grandview St	Mount Dora  FL 32757   
        Kissimmee West   ,       4554 W Irlo Bronson Memorial Hwy	Kissimmee  FL	34746   
        Zephyrhills   ,       3944 Gall Blvd Zephyrhills  FL 33541   
        Lake Jovita   ,       32720 State Rd 52 San Antonio  FL	33576   
        Lake Forest   ,       14901 Bruce B Downs Blvd Tampa  FL 33613   
        Rockwell   ,       8770 HWY 52 Rockwell  NC	23138   
        Charlotte   ,       3040 South Blvd Charlotte  NC 28209   
        Huntsville South   ,       10000 Bailey Cove Rd SE Huntsville  AL	35803   
        Titusville South   ,       305 Country Club Dr  Titusville  FL	32780   
        Sebastian   ,       10950 County Road 512 Sebastian  FL	32958   
        Melbourne Beach   ,       3860 S Hwy A1A	Melbourne Beach  FL	32951   
        North Melbourne   ,       1165 Sarno Road	Melbourne  FL 32935   
        Port St John   ,       7490 Grissom Pkwy Cocoa  FL	32927   
        Sharpes   ,       4580 Grissom Pkwy Cocoa  FL	32926   
        Northeast Tampa   ,       8620 Temple Terrance HWY  Tampa FL	33637   
        Moseley   ,       16717 Hull Street Road Moseley   VA 23120   
        Birmingham   ,       11560 Memorial Pkwy SW	Huntsville  AL 35803   
        Huntsville   ,       11560 Memorial Pkwy SW	Huntsville  AL 35803   
        Northeast Columbia   ,       10018 Two Notch Rd	Columbia  SC 29223   
        Southwest Austin   ,       6511 Brush Country Rd Austin 	TX	78749   
        Northwest Riverside   ,       6290 Mission Boulevard Riverside  CA 92509   
        Oxnard   ,       1132 S Oxnard Blvd Oxnard  CA 93030   
        Omaha   ,       3435 Oak View Dr Omaha 	NE	68144   
        Southeast Indianapolis   ,       5034 E Raymond St Indianapolis  IN 46203   
        Lady Lake   ,       841 S Hwy 441/27 Lady Lake 	FL	32157   
        Central Columbia   ,       1421 Gervais St Columbia  SC	29201   
        Hampton   ,       11205 Tara Blvd Hampton  GA	30250   
        Northeast Atlanta   ,       4968 Roswell Road Atlanta  GA	30342   
        Manassas   ,       7420 Sudley Rd Manassas   VA	20109   
        San Tan Valley   ,       2528 E Copper Mine Rd  San Tan Valley  AZ 85143   
        Norcross   ,       6083 S. Norcross-Tucker Road	Norcross  GA 30092   
        Stafford   ,       1075 Garrisonville Rd Stafford  VA 22556   
        Southeast San Antonio   ,       4003 E Southcross San Antonio  TX	78222   
        Hapeville   ,       501 N Central Ave Hapeville  GA 30354   
        North Marietta   ,       4796 Canton Rd Marietta  GA 30066   
        West San Antonio   ,       7737 W Military Dr San Antonio  TX	78227   
        Southeast Atlanta   ,       1683 Lakewood Ave. Atlanta  GA 30315   
        Fallston   ,       2401 Belair Rd Fallston  MD 21047   
        Alpharetta   ,       174 N Main St Alpharetta  GA 30009   
        Northeast San Antonio   ,       110 Nassau Dr San Antonio  TX 78213   
        Altamonte Springs   ,       250 Wymore Rd. Altamonte Springs  FL 32714   
        North Chicago   ,       4359 n Pulaski Rd. Chicago  IL 60641   
        Anderson   ,       4536 Liberty Hwy  Anderson SC 29621   
        Lake Panasoffkee   ,       43 County Road 470 Lake Panasoffkee 	FL	33538   
        Greenville   ,       2900 Laurens Rd	Greenville  SC 29607   
        Eatonton   ,       271 Scuffleboro Rd Eatonton  GA 31024   
        Sanford   ,       360 W lake mary Blvd	Sanford 	FL	32773   
        Del Ray   ,       1001 S Congress Ave	Del Ray 	FL	33445   
        North Columbia   ,       6202 Shakespeare Rd	Columbia  SC 29233   
        Winter Garden   ,       12890 W Colonial Dr Winter Garden  FL 34787   
        Latana   ,       874 n Dixie hwy Latana  FL 33462   
        Clermont   ,       20250 Hwy 27 Clermont  FL 34715   
        Lockhart   ,       6854 N OBT Lockhart  FL	32810		   
        Northeast Ocala   ,       3511 NE 36 ave Ocala  FL	34479   
        Boynton Beach   ,       10041 Enterprise Center Blvd Boynton Beach  FL	33437   
        North Titusville   ,       1390 Garden St Titusville  FL	32796   
        Mt. Dora   ,       3865 Hwy 19A Mt. Dora  FL 32757   
        Pahokee   ,       251 E Main Street Pahokee  FL 33476   
        Southwest Cedar Rapids   ,       2330 Wiley Blvd Cedar Rapids  IA 52404   
        Satellite Beach   ,       1107 S Patrick Dr	Satellite Beach  FL 32937   
        Calico Farms   ,       3401 E Red Bridge Rd	Kansas City  MO 64137   
        Central Davie   ,       3690 Davie Rd Davie  FL 33314   
        South Kansas City   ,       1015 Westport Rd Kansas City  MO	64111   
        West Cedar Rapids   ,       250 16th Avenue	Cedar Rapids  IA 52404   
        Mims   ,       4109 W Main St Mims  FL 32754   
        North Lakeland   ,       4410 Kathleen Rd Lakeland  FL 33810   
        Lakewood Ranch   ,       14315 East State Road 70	Lakewood Ranch  FL 34202   
        Lake Parker   ,       2750 US Highway 98 N Lakeland  FL 33805   
        South Bradenton   ,       5410 14th Street W Bradenton  FL 34207   
        Catonsville   ,       620 Edmondson Ave Catonsville  MD 21228   
        Lincoln   ,       151 SW 48th St Lincoln  NE 68522   
        North Cedar Rapids   ,       1120 Old Marion Road Cedar Rapids  IA	52402   
        Cedar Rapids   ,       1581 1st Avenue Cedar Rapids  IA 52404   
        Chicago   ,       7201 N Clark St Chicago  IL 60626   
        West Alexandria   ,       6261 Little River Turnpike Alexandria  VA 22312   
        Fontana   ,       16119 Foothill Blvd Ste A Fontana CA 92335   
        Covina   ,       1680 W San Bernardino Rd Covina  CA 91722   
        Upland   ,       681 E Foothill Blvd Upland  CA 91786   
        Leesburg   ,       32641 Radio Rd Leesburg  FL 34468   
        Littleton   ,       599 W Littleton Blvd Littleton  CO 80120   
        Culver City   ,       11197 Washington Pl	Culver City  CA 90232   
        Northwest Jersey City   ,       555 Tonnelle Ave.	Jersey City  NJ 07307   
        West Moreno Valley   ,       12220 Pigeon Pass Rd Moreno Valley  CA 92557   
